pixel,visibility
1,0.0301637379781
2,0.00412835851814
3,0.0286457196822
4,0.0325557136905
5,0.0328994591164
6,0.0309731737818
7,0.00928399283682
8,0.00774824116938
9,0.0177509407193
10,0.0125587353102
11,0.0254205099428
12,0.0170857821583
13,0.0132768025243
14,0.0175877794155
15,0.00875668895551
16,0.0131226101595
17,0.0155826232302
18,0.00793297557741
19,0.0029117171211
20,0.00786727731099
21,0.00208820249797
22,0.0028482465567
23,0.00811931192428
24,0.0116898714791
25,0.00592652645245
26,0.00340010032724
27,0.00119597224884
28,0.0065695211514
29,0.00423354854449
30,0.00178825039331
31,0.00691508470367
32,0.00282230667698
33,0.00322301842779
34,0.00173054441804
35,0.00211484559218
36,0.00135892952146
37,0.00986454025281
38,0.00848313049733
39,0.00681880898048
40,0.00765597706196
41,0.00643700687097
42,0.0064795454554
43,0.00708119372668
44,0.00175608524386
45,0.00248223105436
46,0.00143927910249
47,0.0079326045746
48,0.00416697071335
49,0.00446889360472
50,0.00789812788222
51,0.00285996432494
52,0.00546807496836
53,0.0114748636759
54,0.00409776583566
55,0.00064326334906
56,0.00836056564518
57,0.00250864943949
58,0.00763011862431
59,0.00630257218123
60,0.00207883309069
61,0.00636932523999
62,0.00828359658963
63,0.00653295915988
64,0.00703064311268
65,0.00769482532856
66,0.00453811088738
67,0.00645072544458
68,0.00847075830123
69,0.0131357446939
70,0.0165255176757
71,0.00276816070241
72,0.0115285161243
73,0.0109209899899
74,0.00437434559923
75,0.00672551044791
76,0.0107987542848
77,0.00713142665891
78,0.00425885896851
79,0.00332319699041
80,0.012000195564
81,0.00801221430257
82,0.00700593771358
83,0.00659437939812
84,0.00738425212554
85,0.00982121467859
86,0.00596889915465
87,0.00584160111931
88,0.00282465672746
89,0.00566503448482
90,0.00974270586608
91,0.00177541273818
92,0.00519256000172
93,0.0120441046977
94,0.00269356945355
95,0.00819463662595
96,0.00902894265013
97,0.00879359034068
98,0.00630125672494
99,0.0113162950889
100,0.00463295762417
101,0.00829268788804
102,0.015929416579
103,0.00798211962716
104,0.000431431578116
105,0.00748339873078
106,0.00882533040321
107,0.0101155844169
108,0.0117583149223
109,0.0118167146442
110,0.0148118784022
111,0.00423357589605
112,0.0136694078952
113,0.0132159636665
114,0.00901360668948
115,0.00880837562974
116,0.00860928201248
117,0.00556628398023
118,0.00786892107036
119,0.00890566492173
120,0.0130926875913
121,0.0199875686518
122,0.0195355469065
123,0.0282958097805
124,0.0181516390558
125,0.00959777501294
126,0.0157900638211
127,0.0143716592971
128,0.0131520339151
