pixel,visibility
0,0.0540384119454
1,0.0546535488422
2,0.0546036310558
3,0.0558422306047
4,0.0554019491471
5,0.0545888755123
6,0.0548062202151
7,0.0577925731231
8,0.0580864452996
9,0.0603822880718
10,0.060974116805
11,0.0607322703101
12,0.060008654143
13,0.0618509783376
14,0.0595677241454
15,0.0597928658533
16,0.0518609644047
17,0.0391541618004
18,0.0334647953539
19,0.038528865177
20,0.0525310137318
21,0.0566481682647
22,0.0615080503429
23,0.0659777439945
24,0.0631056785355
25,0.0655505416833
26,0.0632891754016
27,0.0642532214129
28,0.0653652769007
29,0.0644369905085
30,0.0673880333251
31,0.0714018216738
32,0.0660861341739
33,0.0668919837434
34,0.064823106443
35,0.0674604506723
36,0.063402397493
37,0.0649981073563
38,0.062658586701
39,0.0631650732901
40,0.0617189923896
41,0.063344952922
42,0.0670360021411
43,0.0665495566524
44,0.0675969385775
45,0.0704831804881
46,0.0670782151484
47,0.0658582820073
48,0.0642989588275
49,0.0673500436846
50,0.0667322965207
51,0.0691214317554
52,0.0676816497664
53,0.0664259531152
54,0.0671745521233
55,0.0649758188064
56,0.0672164914953
57,0.066717346802
58,0.0678638679475
59,0.0680640203854
60,0.0646977584706
61,0.0626141462764
62,0.0688750662603
63,0.0703844508527
64,0.0681753860356
65,0.0672807136451
66,0.0695201130277
67,0.069538275157
68,0.0654703332353
69,0.0677095074755
70,0.0701836876027
71,0.067662416593
72,0.0690171990853
73,0.0676463419939
74,0.0623947156745
75,0.0627523067499
76,0.0641371198676
77,0.0643288049815
78,0.0682364447521
79,0.0660208869797
80,0.0625529857586
81,0.0657316262202
82,0.0629614583427
83,0.064581579631
84,0.0628664651988
85,0.0635410651046
86,0.0620830431878
87,0.0639675138572
88,0.0635940542748
89,0.0672603260093
90,0.0681276509967
91,0.0631539244061
92,0.0646290999879
93,0.0664795581575
94,0.0663262803391
95,0.0614191810654
96,0.0619730988999
97,0.0643742600762
98,0.0605918173877
99,0.0622231242671
100,0.0602457197088
101,0.0605541748262
102,0.0627605512734
103,0.0633089849004
104,0.0618482219756
105,0.0645435537024
106,0.0648016340049
107,0.0612173384653
108,0.0617559615773
109,0.0655471326075
110,0.0643637029693
111,0.0606813256127
112,0.0625037295112
113,0.0655477893972
114,0.0624419330273
115,0.0622026613454
116,0.0609503276503
117,0.0587548258367
118,0.058765817599
119,0.0601142842016
120,0.0578445108288
121,0.0612391754185
122,0.055960920507
123,0.0650121341372
124,0.0644474513845
125,0.061768176216
126,0.0628986272977
127,0.0648913826302
128,0.0613297202215
129,0.0562208216945
130,0.0584096118491
131,0.0533292974066
132,0.0505803090229
133,0.0507299407089
134,0.0522728415045
135,0.0482521502073
136,0.0516195120045
137,0.0541671324957
138,0.0500624987595
139,0.0525674876154
