exposure,counts
0.01,5.578065625
0.02,11.176615625
0.05,27.9917304687
0.1,56.0657953125
0.2,112.243542187
0.5,281.331701562
1,564.271148438
2,1129.49073047
5,2826.36161328
10,5643.84339844
